id,formula,reduced_formula,elements,n_elements,nsites,volume,density,crystal_system,space_group,space_group_number,point_group,dimensionality,corrected_energy,formation_energy_per_atom,decomposition_energy_per_atom,decomposition_energy_relative,bandgap_ev,bandgap_type,gnome_material_id,source,data_version,created_at
Cu1In8Ni1Sr2,Cu1In8Ni1Sr2,Sr2In8CuNi,Ni; Cu; Sr; In,4,12,2967392.0,68048.0,orthorhombic,Amm2,38,mm2,intercalated ion,-385556.0,-2736.0,-61.0,0.0,0.0209,semiconductor,005c5e32d9,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.891127Z
B4Co7Ga2Nd1Ni2Tm2,B4Co7Ga2Nd1Ni2Tm2,NdTm2Ga2Co7(NiB2)2,B; Co; Ni; Ga; Nd; Tm,6,18,2196616.0,90315.0,orthorhombic,Cmmm,65,mmm,,-1174185.0,-5337.0,-244.0,-74.0,,semiconductor,005cb0eecf,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.895259Z
Ca2Ga1Si2Zn5,Ca2Ga1Si2Zn5,Ca2Zn5GaSi2,Si; Ca; Zn; Ga,4,10,1859206.0,47613.0,tetragonal,P4mm,99,4mm,intercalated ion,-273016.0,-3113.0,-164.0,3.0,0.0086,semiconductor,005e392cf2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.897940Z
Cu1Er11Fe4Sn1Tm1,Cu1Er11Fe4Sn1Tm1,Er11TmFe4CuSn,Fe; Cu; Sn; Er; Tm,5,18,4328029.0,92634.0,monoclinic,Cm,8,m,3D,-1001558.0,-1915.0,-121.0,-4.0,,semiconductor,005e5fb0ca,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.900943Z
Co4Er19Sb8Tb1,Co4Er19Sb8Tb1,TbEr19(CoSb2)4,Co; Sb; Tb; Er,4,32,8270199.0,9129.0,monoclinic,Pm,6,m,,-1768381.0,-7485.0,0.0,7.0,,semiconductor,005e973de5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.904569Z
Er1Ga20Tc6Tm3,Er1Ga20Tc6Tm3,ErTm3(Ga10Tc3)2,Ga; Tc; Er; Tm,4,30,5149494.0,85664.0,orthorhombic,Amm2,38,mm2,3D,-1529091.0,-4063.0,-9.0,1.0,,semiconductor,005f65e331,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.908393Z
Cu12Ge2Mo2Te16,Cu12Ge2Mo2Te16,Cu6GeTe8Mo,Cu; Ge; Mo; Te,4,32,8674692.0,60132.0,hexagonal,P6_3mc,186,6mm,,-1409846.0,-3301.0,-63.0,2.0,,semiconductor,005fe3c7c9,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.911232Z
Al1Ba6Ga1K6Sb8,Al1Ba6Ga1K6Sb8,K6Ba6AlGaSb8,Al; K; Ga; Sb; Ba,5,22,9027743.0,39166.0,trigonal,P3m1,156,3m,intercalated ion,-760906.0,-8231.0,-224.0,-1.0,0.5724,semiconductor,00605d5741,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.915613Z
Be4Pr3Si12Sm5,Be4Pr3Si12Sm5,Pr3Sm5(BeSi3)4,Be; Si; Pr; Sm,4,24,4643125.0,55347.0,orthorhombic,Cmmm,65,mmm,intercalated ion,-1329099.0,-6214.0,-794.0,4.0,0.0162,semiconductor,00609d7e1c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.918402Z
Ba40Sb26,Ba40Sb26,Ba20Sb13,Sb; Ba,2,66,30039707.0,47864.0,orthorhombic,Fdd2,43,mm2,intercalated ion,-2568951.0,-11028.0,-15.0,-8.0,,semiconductor,0060a13fcd,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.921224Z
Ca20Cd2Hg1Si9,Ca20Cd2Hg1Si9,Ca20Cd2Si9Hg,Si; Ca; Cd; Hg,4,32,9101241.0,26998.0,tetragonal,P422,89,422,intercalated ion,-1053941.0,-447.0,-96.0,-28.0,0.0054,semiconductor,0060c965fe,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.923817Z
